"customerkey","givenname","cohort_year","last_purchase_date","customer_status"
6832,"Cooper","2023","2023-12-15","active"
6887,"Kaitlyn","2022","2022-01-08","churned"
6943,"Maddison","2020","2020-05-18","churned"
6949,"William","2018","2022-11-10","churned"
7018,"Laura","2021","2021-11-24","churned"
7074,"Lara","2019","2019-07-01","churned"
7086,"William","2019","2022-07-15","churned"
7147,"Ebony","2019","2022-11-19","churned"
7163,"Caitlyn","2022","2022-12-08","churned"
7181,"Ellie","2022","2023-05-10","churned"
7364,"Brayden","2023","2023-06-24","churned"
7432,"Aaron","2018","2018-09-06","churned"
7440,"Rachel","2017","2021-03-24","churned"
7539,"Madeline","2021","2021-11-04","churned"
7555,"Alicia","2019","2021-10-15","churned"
7583,"Oscar","2020","2020-02-06","churned"
7659,"Koby","2016","2016-02-12","churned"
7781,"Makayla","2021","2021-09-30","churned"
7793,"Toby","2019","2019-09-12","churned"
7911,"Zachary","2023","2023-02-02","churned"
7947,"Isabelle","2018","2022-12-06","churned"
8006,"Stephanie","2022","2022-08-24","churned"
8105,"Hayley","2019","2023-03-08","churned"
8121,"Alexandra","2021","2021-12-04","churned"
8213,"Anthony","2017","2023-03-04","churned"
8227,"Brayden","2022","2022-10-25","churned"
8271,"Christian","2022","2022-06-11","churned"
8283,"Luca","2022","2023-01-30","churned"
8289,"Abby","2023","2023-07-11","churned"
8297,"Jade","2016","2016-08-06","churned"
8340,"Jeremy","2022","2022-11-09","churned"
8361,"Michael","2019","2019-12-25","churned"
8395,"Jesse","2023","2023-01-02","churned"
8467,"Sean","2021","2021-04-29","churned"
8601,"Matthew","2022","2022-12-02","churned"
8642,"Harrison","2023","2023-05-23","churned"
8754,"Henry","2022","2022-10-15","churned"
8842,"Kayla","2020","2024-01-18","active"
8910,"Isaac","2018","2023-01-23","churned"
8993,"Beau","2023","2023-09-26","churned"
9006,"Alexis","2023","2023-12-09","active"
9016,"Jai","2022","2022-01-12","churned"
9028,"Charles","2019","2019-02-23","churned"
9053,"Isabella","2022","2022-08-20","churned"
9158,"Alexandra","2018","2018-12-15","churned"
9163,"Jake","2019","2019-11-23","churned"
9440,"Alexandra","2015","2015-11-20","churned"
9533,"Koby","2021","2021-12-27","churned"
9613,"Claudia","2022","2022-12-20","churned"
9683,"Anna","2018","2022-05-19","churned"
9761,"Noah","2022","2022-03-11","churned"
9810,"Jessica","2022","2022-07-16","churned"
9833,"Milla","2022","2022-05-09","churned"
9874,"Jackson","2022","2022-06-08","churned"
10053,"Lucinda","2021","2023-02-16","churned"
10058,"Joseph","2021","2021-05-22","churned"
10201,"Christian","2017","2017-08-12","churned"
10231,"Matthew","2020","2020-01-11","churned"
10243,"Connor","2019","2022-09-21","churned"
10319,"Summer","2022","2022-08-12","churned"
10407,"Beau","2023","2023-05-06","churned"
10466,"Christopher","2019","2019-11-19","churned"
10514,"Evie","2022","2022-02-18","churned"
10578,"Natalie","2023","2024-04-12","active"
10609,"Mikayla","2019","2019-12-11","churned"
10610,"Keira","2016","2016-07-13","churned"
10647,"Emily","2018","2018-11-08","churned"
10806,"Michael","2015","2015-12-20","churned"
10808,"Tristan","2021","2021-10-23","churned"
10827,"Ruby","2019","2019-03-08","churned"
10832,"Jesse","2018","2022-10-19","churned"
10887,"Charlie","2018","2018-07-13","churned"
10933,"Alicia","2017","2017-10-18","churned"
10952,"Jade","2022","2024-01-16","active"
10979,"Georgia","2018","2022-08-09","churned"
11116,"Lola","2017","2023-08-05","churned"
11244,"Abby","2017","2024-02-27","active"
11414,"Dylan","2022","2023-06-17","churned"
11462,"Milla","2022","2022-09-24","churned"
11515,"Lilian","2023","2023-07-20","churned"
11564,"Dylan","2018","2023-11-01","active"
11632,"Jayden","2023","2023-06-22","churned"
11709,"Jorja","2021","2021-09-03","churned"
11775,"Taj","2023","2023-05-26","churned"
11843,"Seth","2020","2020-01-23","churned"
11988,"Rory","2019","2019-09-07","churned"
12043,"Georgia","2018","2023-08-26","churned"
12076,"Indiana","2019","2019-11-30","churned"
12116,"Sarah","2015","2015-10-24","churned"
12122,"Emma","2021","2021-03-10","churned"
12144,"Makayla","2018","2022-03-10","churned"
12169,"Eve","2022","2022-05-28","churned"
12184,"Ben","2022","2022-10-14","churned"
12210,"Owen","2018","2018-08-28","churned"
12217,"Flynn","2022","2022-02-28","churned"
12271,"Kai","2020","2020-01-31","churned"
12280,"Spencer","2023","2023-03-04","churned"
12310,"Alicia","2022","2022-01-29","churned"
12412,"Ryan","2021","2021-12-25","churned"
12432,"Cooper","2022","2022-12-30","churned"
12461,"Ava","2018","2023-01-07","churned"
12510,"Sebastian","2019","2019-11-25","churned"
12537,"Molly","2023","2023-09-18","churned"
12551,"Matilda","2022","2022-11-16","churned"
12558,"Sebastian","2022","2022-09-29","churned"
12689,"Darcy","2021","2021-12-13","churned"
12838,"Eva","2018","2018-06-25","churned"
12854,"Skye","2022","2024-04-18","active"
12945,"Ryder","2018","2018-06-26","churned"
12973,"Edward","2015","2015-08-29","churned"
12995,"William","2021","2024-02-08","active"
12997,"Lachlan","2019","2019-05-06","churned"
13004,"Beau","2016","2019-09-12","churned"
13012,"Stephanie","2021","2021-10-16","churned"
13094,"Ava","2018","2018-09-28","churned"
13375,"Blake","2021","2021-09-09","churned"
13570,"Isabella","2021","2021-05-03","churned"
13721,"Alex","2021","2023-08-15","churned"
13853,"Laura","2019","2019-06-05","churned"
13872,"Sophia","2023","2023-07-05","churned"
13906,"Jasmine","2018","2018-08-09","churned"
13910,"Ruby","2022","2022-08-08","churned"
13926,"Eve","2020","2020-04-08","churned"
13947,"Taylah","2016","2016-05-28","churned"
13958,"Gemma","2022","2022-02-23","churned"
13975,"Julian","2019","2019-02-15","churned"
13976,"Alexis","2016","2016-02-11","churned"
14030,"Zachary","2017","2022-07-20","churned"
14104,"Jake","2018","2018-01-01","churned"
14106,"Mackenzie","2018","2018-12-13","churned"
14141,"Chloe","2020","2020-02-01","churned"
14221,"Lucinda","2018","2018-09-12","churned"
14413,"Grace","2015","2015-08-06","churned"
14425,"Owen","2023","2023-01-06","churned"
14428,"Mitchell","2022","2022-10-14","churned"
14527,"Taylah","2015","2015-02-21","churned"
14553,"Sam","2023","2023-04-08","churned"
14578,"Abbey","2019","2019-03-07","churned"
14680,"Kiara","2022","2022-06-23","churned"
14757,"Archer","2022","2022-11-16","churned"
14935,"Savannah","2018","2022-12-28","churned"
14972,"Hamish","2018","2018-09-03","churned"
15008,"Rory","2020","2022-06-22","churned"
15185,"Chloe","2021","2021-12-02","churned"
15259,"Piper","2022","2024-01-31","active"
15296,"Brayden","2021","2021-06-01","churned"
15390,"Elizabeth","2020","2023-06-28","churned"
15402,"Kate","2023","2023-09-18","churned"
15426,"Emily","2023","2023-05-18","churned"
15514,"Nate","2017","2017-11-23","churned"
15524,"Ebony","2019","2019-07-16","churned"
15630,"Mackenzie","2017","2022-07-21","churned"
15651,"Samantha","2022","2022-01-19","churned"
15679,"Ali","2023","2023-07-19","churned"
15852,"Oliver","2023","2023-02-15","churned"
15869,"Ryder","2019","2019-02-28","churned"
15908,"Elijah","2022","2022-08-04","churned"
15917,"Austin","2023","2023-11-01","active"
15993,"Molly","2020","2022-09-29","churned"
16067,"David","2023","2023-08-12","churned"
16099,"Aiden","2022","2022-12-10","churned"
16108,"Edward","2021","2022-09-08","churned"
16128,"Jonathan","2017","2017-08-09","churned"
16134,"Ali","2018","2022-02-26","churned"
16169,"Mariam","2019","2024-01-29","active"
16243,"Nate","2022","2022-03-10","churned"
16352,"Georgia","2023","2023-01-11","churned"
16426,"Madeleine","2018","2023-09-16","churned"
16531,"Georgia","2019","2023-09-28","churned"
16591,"Angelina","2018","2022-01-21","churned"
16815,"Lincoln","2019","2019-10-09","churned"
16840,"Amy","2018","2018-08-27","churned"
16845,"Archie","2019","2019-04-20","churned"
16901,"Dominic","2022","2023-03-16","churned"
16902,"Holly","2022","2022-02-11","churned"
16962,"Henry","2020","2020-02-13","churned"
16984,"Timothy","2022","2023-04-29","churned"
17149,"Mia","2017","2017-11-23","churned"
17150,"Ben","2022","2022-11-26","churned"
17212,"Angelina","2018","2023-02-23","churned"
17298,"Alica","2019","2022-12-28","churned"
17432,"Beau","2016","2022-08-08","churned"
17456,"Lola","2022","2022-06-25","churned"
17627,"Abigail","2022","2022-07-12","churned"
17674,"Jesse","2019","2019-05-22","churned"
17677,"Isabelle","2023","2023-02-18","churned"
17680,"Alicia","2018","2023-10-04","churned"
17711,"Evie","2019","2019-05-25","churned"
17731,"Lola","2022","2022-12-08","churned"
17751,"Sean","2023","2023-06-17","churned"
17835,"Jessica","2023","2023-04-12","churned"
17850,"Isabelle","2017","2022-09-10","churned"
17924,"Spencer","2022","2024-01-31","active"
17977,"Summer","2021","2021-02-20","churned"
17991,"Ashton","2019","2019-10-12","churned"
18098,"Jonathan","2023","2023-08-24","churned"
18111,"Eden","2022","2022-07-07","churned"
18123,"Cameron","2015","2019-02-14","churned"
18193,"Harry","2018","2019-02-16","churned"
18372,"Xavier","2023","2023-01-16","churned"
18374,"Christopher","2022","2022-10-15","churned"
18378,"Brooke","2018","2019-10-04","churned"
18390,"Sofia","2022","2022-10-20","churned"
18475,"Lilly","2022","2022-12-30","churned"
18508,"Mitchell","2020","2023-11-09","active"
18906,"Joel","2023","2023-08-19","churned"
19010,"Max","2019","2019-07-17","churned"
19057,"Lily","2022","2022-09-17","churned"
19112,"Charlie","2022","2022-10-07","churned"
19125,"Mikayla","2022","2022-12-07","churned"
19154,"Daniel","2022","2022-10-04","churned"
19194,"Madeline","2022","2022-03-03","churned"
19202,"Will","2020","2020-12-16","churned"
19302,"Indiana","2023","2023-03-03","churned"
19315,"James","2019","2019-05-16","churned"
19337,"Chloe","2021","2022-03-19","churned"
19405,"James","2017","2019-09-24","churned"
19420,"Elijah","2021","2023-05-04","churned"
19425,"Jessica","2018","2022-03-03","churned"
19430,"Hugo","2022","2022-04-28","churned"
19584,"Sienna","2016","2016-06-02","churned"
19629,"Abigail","2022","2022-07-16","churned"
19864,"Aaron","2015","2023-01-24","churned"
19883,"Ryder","2015","2022-02-26","churned"
19963,"Caitlyn","2019","2019-01-10","churned"
20074,"Amelia","2022","2022-10-07","churned"
20111,"Cody","2022","2022-09-03","churned"
20153,"Jonathan","2021","2023-01-18","churned"
20186,"Sean","2022","2023-03-27","churned"
20201,"Alana","2017","2017-05-24","churned"
20211,"Lauren","2023","2023-08-11","churned"
20253,"Jayden","2017","2017-06-14","churned"
20471,"Elijah","2019","2019-02-20","churned"
20513,"Alexis","2019","2019-10-03","churned"
20596,"Skye","2022","2022-12-24","churned"
20610,"Lucas","2021","2021-08-27","churned"
20705,"Liam","2017","2017-08-23","churned"
20811,"Nathan","2019","2019-03-05","churned"
20853,"George","2021","2021-05-23","churned"
21121,"Samuel","2022","2023-10-17","churned"
21336,"Mariam","2019","2022-05-07","churned"
21356,"Jorja","2017","2017-08-24","churned"
21396,"Lily","2018","2018-09-03","churned"
21551,"Riley","2018","2018-03-26","churned"
21576,"Laura","2019","2019-01-04","churned"
21596,"Ryder","2021","2021-10-12","churned"
21681,"Natasha","2016","2022-08-31","churned"
21782,"Cameron","2016","2016-03-11","churned"
21816,"Natasha","2018","2024-03-19","active"
21823,"Ryder","2020","2020-02-15","churned"
21912,"Michael","2021","2021-07-15","churned"
21972,"Maya","2016","2024-01-20","active"
22031,"Maya","2016","2016-04-20","churned"
22428,"Gemma","2019","2019-08-16","churned"
22430,"Zane","2023","2023-05-13","churned"
22458,"Edward","2022","2023-01-06","churned"
22505,"Jackson","2020","2020-07-15","churned"
22538,"Zachary","2022","2022-05-05","churned"
22613,"Alexandra","2018","2018-08-24","churned"
22638,"Matthew","2022","2022-05-27","churned"
22727,"Bella","2019","2019-11-08","churned"
22748,"Tyson","2020","2020-11-25","churned"
22769,"Lily","2022","2022-03-16","churned"
22889,"Anna","2022","2022-03-09","churned"
23010,"Layla","2022","2022-08-09","churned"
23141,"Taj","2021","2022-06-25","churned"
23169,"Anthony","2022","2022-02-17","churned"
23172,"Summer","2017","2022-08-24","churned"
23223,"Eva","2022","2022-11-24","churned"
23234,"William","2022","2022-06-28","churned"
23349,"Jorja","2018","2018-03-03","churned"
23364,"Abigail","2020","2020-12-22","churned"
23458,"Erin","2016","2018-12-31","churned"
23550,"Leah","2021","2021-05-18","churned"
23635,"Milla","2018","2018-05-07","churned"
23698,"Seth","2015","2015-02-23","churned"
23758,"Stella","2022","2022-07-07","churned"
23883,"Rory","2020","2020-08-12","churned"
23896,"Jade","2022","2022-05-14","churned"
23926,"Lucinda","2018","2018-01-31","churned"
23969,"Archie","2018","2018-10-12","churned"
24054,"Bailey","2023","2023-08-30","churned"
24134,"Brayden","2018","2018-09-06","churned"
24179,"Charli","2022","2022-05-09","churned"
24196,"Mason","2022","2022-11-10","churned"
24415,"Alana","2021","2021-02-17","churned"
24453,"Lucy","2021","2021-12-22","churned"
24479,"Jasper","2023","2023-10-09","churned"
24481,"Joseph","2019","2019-11-13","churned"
24536,"Lara","2022","2023-05-24","churned"
24774,"Leah","2019","2023-03-06","churned"
24785,"Kai","2023","2023-04-25","churned"
24813,"Matilda","2022","2022-12-28","churned"
24899,"Andrew","2023","2023-03-13","churned"
24999,"Bailey","2018","2024-02-24","active"
25020,"Benjamin","2019","2019-03-19","churned"
25029,"Chelsea","2016","2022-10-15","churned"
25109,"Jaxon","2018","2022-05-06","churned"
25144,"Taylah","2018","2018-05-26","churned"
25258,"George","2019","2023-12-23","active"
25344,"Cody","2022","2022-02-08","churned"
25366,"Brayden","2022","2022-03-14","churned"
25388,"Joshua","2018","2018-12-17","churned"
25608,"Angelina","2020","2020-08-03","churned"
25688,"Sarah","2018","2019-09-14","churned"
25723,"Spencer","2018","2018-05-12","churned"
25916,"Aaron","2018","2018-10-12","churned"
25952,"Chloe","2020","2022-10-21","churned"
26032,"Patrick","2023","2023-06-15","churned"
26068,"Jordan","2018","2018-03-29","churned"
26115,"Phoebe","2020","2021-09-16","churned"
26158,"Holly","2022","2022-07-01","churned"
26160,"Ava","2019","2022-03-03","churned"
26250,"Archie","2019","2021-12-24","churned"
26278,"Austin","2023","2023-09-30","churned"
26300,"Hamish","2023","2023-08-15","churned"
26326,"Mikayla","2019","2021-02-26","churned"
26410,"Gabrielle","2022","2022-08-23","churned"
26526,"Joseph","2020","2020-01-23","churned"
26551,"Katie","2022","2022-10-28","churned"
26585,"Riley","2017","2017-05-02","churned"
26741,"Jayden","2016","2021-05-13","churned"
26742,"Hudson","2022","2023-11-01","active"
26765,"Elijah","2016","2022-12-31","churned"
26818,"Tyler","2016","2019-07-03","churned"
26843,"Will","2016","2016-10-20","churned"
26910,"Georgia","2021","2024-03-30","active"
26947,"William","2016","2016-09-15","churned"
26982,"James","2019","2021-10-23","churned"
26991,"Mary","2017","2017-04-29","churned"
27020,"Lilian","2020","2023-08-19","churned"
27111,"Matilda","2018","2018-10-10","churned"
27150,"Callum","2019","2019-02-15","churned"
27181,"Mason","2019","2019-11-26","churned"
27479,"Jonathan","2018","2018-09-28","churned"
27519,"Matilda","2020","2020-05-30","churned"
27525,"Adam","2022","2024-02-17","active"
27554,"Lilly","2021","2021-12-30","churned"
27569,"Andrew","2018","2022-02-10","churned"
27640,"Leah","2016","2024-02-17","active"
27662,"Sophie","2016","2016-02-20","churned"
27685,"Edward","2019","2019-12-25","churned"
27759,"Amelia","2021","2023-08-17","churned"
27868,"Alicia","2021","2023-01-11","churned"
27937,"Tahlia","2021","2022-07-07","churned"
27951,"Evie","2015","2019-01-15","churned"
28027,"Leo","2015","2018-06-02","churned"
28036,"Poppy","2018","2021-09-04","churned"
28060,"Claudia","2018","2018-11-29","churned"
28136,"Hugo","2023","2023-06-22","churned"
28207,"Jai","2016","2016-02-24","churned"
28217,"Paige","2023","2023-01-09","churned"
28388,"Layla","2022","2022-03-16","churned"
28398,"Leo","2019","2022-12-31","churned"
28422,"Logan","2020","2020-10-17","churned"
28450,"Caitlyn","2023","2023-08-21","churned"
28508,"Ashley","2023","2023-09-06","churned"
28590,"Lauren","2019","2019-12-21","churned"
28764,"Brayden","2023","2024-01-18","active"
28785,"Angus","2018","2018-01-17","churned"
28809,"Brayden","2023","2024-03-11","active"
28943,"Katie","2021","2022-02-02","churned"
29048,"Lucinda","2022","2023-09-16","churned"
29201,"Alex","2018","2018-08-11","churned"
29229,"Lilly","2022","2023-06-08","churned"
29265,"Dakota","2017","2017-05-25","churned"
29280,"Max","2019","2021-11-02","churned"
29326,"Darcy","2022","2022-10-12","churned"
29402,"Poppy","2016","2022-06-04","churned"
29438,"Brock","2020","2020-02-11","churned"
29464,"Jasper","2022","2022-10-29","churned"
29466,"Bianca","2018","2024-01-06","active"
29520,"Zara","2018","2018-01-22","churned"
29541,"Justin","2020","2023-01-14","churned"
29640,"Bella","2022","2023-12-23","active"
29761,"Connor","2023","2023-01-28","churned"
29895,"Jorja","2023","2023-12-26","active"
29921,"Eve","2023","2023-01-03","churned"
29968,"Ryan","2022","2022-04-12","churned"
30023,"Ashton","2022","2022-03-19","churned"
30034,"Isla","2022","2022-07-07","churned"
30035,"Brianna","2022","2022-11-13","churned"
30149,"Cooper","2016","2023-11-28","active"
30191,"Kate","2023","2023-08-23","churned"
30671,"Joel","2019","2019-09-02","churned"
30713,"Timothy","2022","2022-02-26","churned"
30835,"Luca","2023","2024-03-08","active"
30882,"Jasper","2022","2022-06-20","churned"
30970,"Joseph","2022","2022-09-08","churned"
30989,"Julian","2021","2021-05-27","churned"
31026,"Madison","2023","2023-03-11","churned"
31057,"Hamish","2022","2023-02-18","churned"
31074,"Piper","2019","2024-01-23","active"
31080,"Claire","2018","2018-08-25","churned"
31087,"Brooke","2022","2022-06-23","churned"
31120,"Elijah","2022","2023-01-26","churned"
31213,"Mariam","2022","2022-05-11","churned"
31307,"Mackenzie","2020","2020-02-21","churned"
31394,"Ben","2018","2018-02-07","churned"
31418,"Hayley","2020","2020-02-27","churned"
31439,"Dean","2023","2023-06-07","churned"
31492,"Jai","2021","2023-05-04","churned"
31620,"Zachary","2021","2021-08-28","churned"
31662,"Nathan","2017","2017-05-31","churned"
31840,"Joseph","2022","2022-05-04","churned"
31950,"Gemma","2023","2023-08-16","churned"
32039,"Alyssa","2018","2019-11-07","churned"
32294,"Henry","2021","2021-12-09","churned"
32338,"Blake","2021","2023-05-16","churned"
32378,"Claire","2017","2017-05-31","churned"
32416,"Toby","2019","2019-10-23","churned"
32447,"William","2021","2021-10-20","churned"
32453,"Lauren","2022","2022-06-29","churned"
32478,"Zachary","2016","2016-10-28","churned"
32562,"Mackenzie","2018","2023-10-28","active"
32631,"Christian","2022","2022-12-14","churned"
32695,"Jordan","2023","2023-02-16","churned"
32729,"Keira","2020","2024-01-25","active"
32799,"Erin","2015","2015-05-21","churned"
32825,"Gemma","2015","2023-07-06","churned"
32883,"Archer","2021","2021-02-27","churned"
33122,"Gabrielle","2022","2022-11-23","churned"
33159,"Christian","2022","2022-09-09","churned"
33167,"Scarlett","2015","2023-02-19","churned"
33209,"Alica","2016","2023-03-16","churned"
33215,"Grace","2020","2020-02-13","churned"
33259,"Brodie","2018","2019-07-09","churned"
33268,"Isabel","2022","2022-02-19","churned"
33285,"Evie","2023","2023-07-15","churned"
33305,"Benjamin","2020","2020-01-08","churned"
33427,"Mia","2023","2023-01-18","churned"
33440,"Thomas","2019","2022-10-04","churned"
33553,"Blake","2018","2018-01-05","churned"
33562,"Christian","2022","2024-02-24","active"
33576,"Sean","2017","2017-08-09","churned"
33607,"Hunter","2022","2022-08-25","churned"
33640,"Cameron","2022","2022-08-06","churned"
33661,"Amelia","2017","2017-01-10","churned"
33663,"Isabelle","2022","2022-10-21","churned"
33695,"Skye","2018","2018-02-28","churned"
34027,"Piper","2023","2023-02-09","churned"
34089,"Zara","2021","2021-06-04","churned"
34115,"Declan","2022","2022-06-07","churned"
34127,"Caitlyn","2019","2019-11-14","churned"
34136,"Hayden","2019","2021-06-02","churned"
34267,"Max","2022","2022-05-11","churned"
34354,"Zoe","2022","2022-10-13","churned"
34384,"Isabella","2023","2023-07-08","churned"
34419,"Beau","2017","2023-05-21","churned"
34435,"Callum","2018","2018-02-20","churned"
34488,"George","2022","2022-01-29","churned"
34663,"Jonathan","2019","2020-07-16","churned"
34786,"Tyson","2019","2019-08-30","churned"
34796,"Brock","2019","2022-07-12","churned"
35071,"Jordan","2019","2022-01-06","churned"
35108,"Dakota","2022","2022-12-31","churned"
35144,"Toby","2022","2022-08-18","churned"
35146,"Grace","2017","2017-07-11","churned"
35270,"Brayden","2022","2022-11-12","churned"
35463,"Koby","2017","2023-08-23","churned"
35488,"Elizabeth","2018","2018-12-11","churned"
35536,"John","2018","2018-09-22","churned"
35592,"Claire","2015","2015-10-01","churned"
35654,"Rachel","2022","2022-10-05","churned"
35785,"Chloe","2019","2022-05-10","churned"
35835,"Lola","2015","2022-09-12","churned"
36031,"Harry","2022","2022-07-21","churned"
36073,"Matilda","2016","2016-05-17","churned"
36086,"Alicia","2018","2019-01-26","churned"
36194,"Sienna","2022","2022-02-04","churned"
36285,"Abbey","2023","2023-01-09","churned"
36414,"Hamish","2023","2023-01-25","churned"
36482,"Tyler","2017","2020-02-13","churned"
36550,"William","2021","2023-02-09","churned"
36660,"Patrick","2016","2016-02-18","churned"
36712,"Justin","2019","2019-01-29","churned"
36739,"Zachary","2023","2023-01-24","churned"
36764,"Alica","2015","2023-02-16","churned"
36795,"Rory","2020","2022-01-22","churned"
36911,"Ben","2018","2018-02-03","churned"
36925,"Seth","2022","2023-02-14","churned"
37025,"Andrew","2016","2016-02-15","churned"
37127,"Riley","2021","2021-09-22","churned"
37181,"Brodie","2019","2019-12-04","churned"
37189,"Patrick","2018","2024-03-21","active"
37293,"Sean","2021","2021-08-07","churned"
37298,"Julian","2021","2021-07-15","churned"
37346,"Erin","2023","2023-08-17","churned"
37407,"Jaxon","2023","2023-10-10","churned"
37424,"Finn","2019","2019-04-13","churned"
37527,"William","2022","2022-08-20","churned"
37577,"Joshua","2022","2022-10-19","churned"
37618,"Alana","2023","2023-08-12","churned"
37671,"Daniel","2017","2017-04-12","churned"
37876,"Lola","2017","2022-02-15","churned"
37985,"Cameron","2021","2023-03-22","churned"
38037,"Paige","2021","2022-02-25","churned"
38049,"Bella","2022","2022-08-27","churned"
38054,"Aaron","2021","2021-12-13","churned"
38139,"Ellie","2023","2023-09-01","churned"
